Name,Team,position,ovr rating,age,college,awareness rating,throw power rating,kick return rating,lead block rating,strength rating,b c vision rating,catch in traffic rating,play action rating,pursuit rating,medium route running rating,catching rating,acceleration rating,spin move rating,height,finesse moves rating,spectacular catch rating,run block rating,tackle rating,injury rating,zone coverage rating,weight,plyr birthdate,deep route running rating,years pro,total salary,trucking rating,throw accuracy short rating,juke move rating,play recognition rating,short route running rating,jersey num,break sack rating,speed rating,run block power rating,jumping rating,toughness rating,throw on the run rating,man coverage rating,stiff arm rating,power moves rating,iteration,release rating,hit power rating,throw accuracy mid rating,kick accuracy rating,pass block power rating,impact blocking rating,portrait id,stamina rating,carrying rating,break tackle rating,kick power rating,plyr handedness,throw under pressure rating,signing bonus,pass block rating,press rating,throw accuracy deep rating,block shedding rating,run block finesse rating,agility rating,elusiveness rating,pass block finesse rating,,primary key,encrypted id
Aaron Donald,LAR,RE,99,28,Pittsburgh,99,20,10,23,99,49,23,6,98,9,42,90,25,73,96,47,45,93,98,29,280,5/23/1991,5,5,101892000,32,6,28,99,16,99,12,83,45,78,93,6,25,30,99,1,12,85,6,21,45,93,6394,93,48,17,25,Right,15,40000000,45,10,6,97,45,86,20,45,,10852,g3fb32qg42q63jrlr9gpo0aqh8
DeAndre Hopkins,HOU,WR,99,27,Clemson,99,35,72,29,78,94,99,15,30,95,99,93,83,73,32,99,53,42,96,35,215,6/6/1992,91,6,81420000,55,15,91,28,96,10,22,92,37,99,90,15,32,79,30,1,99,35,10,20,27,49,5873,98,75,86,20,Right,23,7500000,44,40,10,45,35,92,79,25,,506,c4j96jts12ar74m8r8031r3dt4
Khalil Mack,CHI,LOLB,99,28,Buffalo,99,32,10,28,89,55,54,6,95,5,62,89,60,75,92,52,45,94,97,59,252,2/22/1991,5,5,107050000,55,6,54,99,15,52,12,87,45,94,92,6,50,49,97,1,25,88,6,22,45,90,6504,95,60,31,24,Right,12,47800000,45,48,6,93,45,88,46,45,,12344,25i2fu7jvh06tqjti51lvmef18
Bobby Wagner,SEA,MLB,99,29,Utah State,99,25,10,28,81,48,15,6,99,5,73,89,24,72,55,15,45,99,98,86,242,6/27/1990,5,7,31980000,41,6,42,99,15,54,12,88,45,92,74,6,75,53,66,1,12,98,6,20,45,90,6138,97,61,23,20,Right,10,12390000,45,42,6,92,45,85,38,45,,11567,mnmsuma8l6s2uv5gl8rl3g8i24
Antonio Brown,LV,WR,98,31,Central Michigan,99,64,91,33,55,97,98,20,24,94,99,93,88,70,10,98,54,25,95,19,181,7/10/1988,93,9,20500000,51,62,93,29,95,84,44,92,36,89,84,68,16,81,10,1,93,15,20,18,12,56,535,97,79,87,30,Left,39,29620000,34,15,15,40,33,98,97,12,,9774,rmv6e8v4jfh48n1lbu52djlq04
Julio Jones,ATL,WR,98,30,Alabama,98,45,68,40,78,97,97,6,49,97,95,91,82,75,10,98,53,44,86,27,220,2/8/1989,92,8,65030000,77,15,90,20,98,11,22,92,38,97,95,10,19,87,10,1,98,56,10,15,38,60,4402,93,75,89,25,Right,22,16410000,50,15,6,45,36,95,88,39,,10615,8ddi963630ktbeo918ufi0lrkg
Luke Kuechly,CAR,MLB,98,28,Boston College,99,25,10,28,83,46,50,6,97,5,80,89,35,75,56,45,45,96,89,83,238,4/20/1991,5,7,43210000,54,6,45,99,15,59,12,86,45,90,99,6,72,49,65,1,12,94,6,24,45,91,5303,99,70,15,22,Right,10,37230000,45,54,6,89,45,83,30,45,,11309,fmcbfjgpha8bitddb1aopmkm9k
David Bakhtiari,GB,LT,97,27,Colorado,99,22,10,88,91,10,15,6,28,5,40,80,10,76,10,12,82,40,89,10,310,9/30/1991,5,6,31670000,25,6,10,15,15,69,12,68,79,66,69,6,10,15,10,1,15,25,6,20,96,90,5671,85,22,5,20,Right,13,18110000,97,10,6,20,84,69,10,98,,1713,rqsemeptj60427oblq4vmmj0ak
Todd Gurley II,LAR,HB,97,25,Georgia,91,34,77,46,75,99,62,15,44,55,68,92,85,73,14,65,44,41,85,20,227,8/3/1994,47,4,49400000,84,35,95,15,61,30,23,92,36,89,89,25,10,91,11,1,55,45,35,15,37,44,7155,96,94,96,19,Left,26,23080000,64,12,35,42,35,95,92,32,,2399,8412uuj00cdnndi4jpvklpohns
Patrick Mahomes,KC,QB,97,23,Texas Tech,92,96,10,10,69,79,32,87,37,17,37,87,69,75,10,30,10,26,94,19,230,9/17/1995,15,2,6340000,48,94,72,22,27,15,88,81,10,74,84,97,17,53,10,1,22,18,93,10,10,10,8648,96,59,76,20,Right,97,10080000,10,10,94,24,10,88,80,10,,12635,bcht6imri99nitvlesfkgo09fg
Von Miller,DEN,LOLB,97,30,Texas AM,99,19,10,29,84,40,20,6,96,5,50,89,45,75,90,40,45,93,96,57,250,3/26/1989,5,8,54000000,40,6,53,99,15,58,12,87,45,83,88,6,46,35,95,1,35,89,6,15,45,89,4432,92,65,20,21,Right,13,29020000,45,62,6,94,45,90,35,45,,10737,iqp2drkm9g8koa3518pv2nc8eg
J.J. Watt,HOU,LE,97,30,Wisconsin,99,20,10,24,97,55,70,6,94,43,78,83,33,77,93,71,45,97,83,29,288,3/22/1989,37,8,87970000,60,6,35,98,54,99,12,78,45,87,98,6,23,49,94,1,62,87,6,10,45,94,4499,95,67,22,10,Right,14,16750000,45,15,6,90,45,85,32,45,,10693,dr7qjte2rfj3mc0mljsgg2h9f8
Odell Beckham Jr,CLE,WR,96,26,LSU,93,59,79,22,53,98,91,12,39,96,96,94,89,71,10,99,55,40,85,22,198,11/5/1992,94,5,59960000,43,51,98,22,96,13,23,94,38,96,94,13,18,78,10,1,92,15,48,53,25,49,6340,95,73,85,75,Right,30,22500000,51,45,45,45,32,98,94,25,,10829,cml3blflla4i7j0vnv9npf5mdo
Tom Brady,NE,QB,96,42,Michigan,99,91,10,24,64,51,15,99,30,14,39,66,35,76,10,30,25,33,99,19,225,8/3/1977,12,19,22000000,20,99,52,20,15,12,63,60,15,47,96,83,11,27,10,1,12,12,98,17,14,34,494,99,66,31,18,Right,90,55000000,19,10,89,33,10,70,37,19,,1327,qfuf477fqa9rt6ng9j026khl8c
