player_name,position,years_exp,primary_position,jersey_number,team,fantasy_data_id,yahoo_id,rotowire_id,espn_id,sportradar_id,player_id,rotoworld_id,gsis_id,stats_id,depth_chart_position,depth_chart_order,seasonId,nflfastR_id,esbId
A.J. Bouye,CB,7,DB,21,DEN,15478,27337,9070,16562,4d6c923d-4776-4558-a30f-739dc4070ffb,1674,9104,00-0030228,NA,LCB,1,2020,32013030-2d30-3033-3032-3238414cf97a,BOU651714
A.J. Cann,G,5,OL,60,JAX,16828,28455,10267,2516325,56657521-aabb-4c6b-a6d1-9b809e6495b6,2372,10466,00-0032255,NA,RG,1,2020,32013030-2d30-3033-3232-35352c667444,CAN364949
A.J. Dillon,RB,0,RB,28,GB,21802,32732,14370,4239934,e10bfeb8-ea01-47bc-bfa8-45f6dcbf71b3,6828,NA,00-0036265,NA,RB,3,2020,32013030-2d30-3033-3632-3635ee83dd2a,DIL237740
A.J. Epenesa,DE,0,DL,57,BUF,21881,32724,14501,4240585,3fa3a270-f8b2-4d53-a265-84bc928af5c5,6802,NA,00-0036192,NA,LDE,2,2020,32013030-2d30-3033-3631-3932a29a7c2d,EPE415291
A.J. Green,WR,9,WR,18,CIN,12845,24791,7241,13983,c9701373-23f6-4058-9189-8d9c085f3c49,830,6438,00-0027942,458093,LWR,1,2020,32013030-2d30-3032-3739-3432de086283,GRE034604
A.J. Klein,LB,7,LB,54,BUF,15186,26771,8942,15964,9342eba6-e307-4c55-a0f7-993518dd4415,1547,8558,00-0030463,NA,SLB,1,2020,32013030-2d30-3033-3034-3633fea3232f,KLE216860
A.J. McCarron,QB,6,QB,2,HOU,16116,27692,9319,16810,d4b30988-e8c5-4689-8037-f79a0d3c2774,1895,9290,00-0031288,508649,QB,2,2020,32013030-2d30-3033-3132-38386b3121bc,MCC176481
A.J. Moore,FS,2,DB,33,HOU,20513,31652,13189,3128746,f9ae156c-f690-401f-b964-34b0ff6187f9,5662,NA,00-0034594,NA,SS,2,2020,32013030-2d30-3033-3435-3934944979bc,MOO174947
A.J. Terrell,CB,0,DB,24,ATL,22075,32686,14526,4239995,1eae2610-be1d-4f53-82a2-28cf4a2db352,6836,NA,00-0036285,NA,LCB,1,2020,32013030-2d30-3033-3632-38356c26d3b0,TER272956
A.Q. Shipley,C,11,OL,62,TB,13610,9490,6215,12726,f7163bae-d4da-4d38-847e-e0315605b9d0,1011,NA,00-0026950,NA,C,2,2020,32013030-2d30-3032-3639-3530107a8485,SHI382248
Aaron Brewer,C,0,OL,62,TEN,22419,33338,14897,4040537,2a41d03d-aec1-4821-a241-6fbe1878d3fd,7440,NA,00-0036171,NA,C,2,2020,32013030-2d30-3033-3631-3731dce9a8e2,BRE606310
Aaron Brewer,LS,8,LS,46,ARI,14042,25976,8543,15241,99149c69-e14f-4e05-9c3a-8ae7e3b1f00b,1122,NA,00-0028946,NA,NA,NA,2020,32013030-2d30-3032-3839-3436d6117ece,BRE611741
Aaron Donald,DT,6,DL,99,LAR,16618,27541,9391,16716,8bb5c7ef-e7be-4015-8874-2f0982286acc,2227,9356,00-0031388,NA,DT,1,2020,32013030-2d30-3033-3133-38382795bd8e,DON134977
Aaron Jones,RB,3,RB,33,GB,19045,30295,11763,3042519,27dd5b6e-ea65-4622-a6b4-460fd144407c,4199,12388,00-0033293,741314,RB,1,2020,32013030-2d30-3033-3332-3933ed82c0de,JON026624
Aaron Rodgers,QB,15,QB,12,GB,2593,7200,4307,8439,0ce48193-e2fa-466e-a986-33f751add206,96,3118,00-0023459,213957,QB,1,2020,32013030-2d30-3032-3334-35395dc60da5,ROD339293
Aaron Stinnie,G,2,OL,64,TB,20379,31619,13303,3049339,5fd40b6b-d81a-4a4e-a394-53ed7e58511f,5668,NA,00-0034668,NA,LG,2,2020,32013030-2d30-3033-3436-36381f077d36,STI628067
Abry Jones,DT,7,DL,95,JAX,15441,27104,9107,16376,ecacc01a-e71d-4028-9bb7-37fcee0f1708,1663,8896,00-0029946,NA,NT,1,2020,32013030-2d30-3032-3939-34365bdd84b7,JON026672
Adam Butler,DT,3,DL,70,NE,19275,30655,12141,2972342,54814199-dd18-408f-9dc4-ce59a121431b,4415,NA,00-0033381,NA,RDT,1,2020,32013030-2d30-3033-3333-3831c2d1dfbc,BUT106408
Adam Gotsis,DE,4,DL,96,JAX,17993,29297,11044,2971498,56c81bc7-72ac-4356-a737-b8010f931b56,3232,11416,00-0033064,NA,RDE,1,2020,32013030-2d30-3033-3330-3634c87a16bb,GOT428790
Adam Humphries,WR,5,WR,10,TEN,17290,29070,10680,2576491,d6d41a89-a8af-48b9-bf75-561de99a1d87,2822,11072,00-0032009,602096,SWR,1,2020,32013030-2d30-3033-3230-30396f0c2958,HUM721507
Adam Pankey,G,3,OL,78,MIA,19240,30616,12073,2976649,478f29fe-7f2e-48a0-b086-b8c509621689,4383,NA,00-0033359,NA,LG,2,2020,32013030-2d30-3033-3333-353993c89318,PAN653214
Adam Shaheen,TE,3,TE,80,MIA,18931,30158,11898,4198676,87171077-4c1c-4b67-b159-2cc6242988e0,4085,12283,00-0033896,1049770,TE,2,2020,32013030-2d30-3033-3338-3936ae111eec,SHA093706
Adam Thielen,WR,7,WR,19,MIN,15534,27277,8986,16460,2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4,1689,9054,00-0030035,733643,LWR,1,2020,32013030-2d30-3033-3030-3335960ad201,THI510348
Adam Trautman,TE,0,TE,82,NO,21786,32775,14541,3911853,4e14183b-f974-4745-9d7f-8f5eb2a92a7d,6869,NA,00-0036422,NA,TE,3,2020,32013030-2d30-3033-3634-3232f8c3cbb4,TRA447732
Adrian Amos,FS,5,DB,31,GB,16902,28530,10390,2582132,81aaf55d-df8f-47d6-9bf1-06b78df37bf6,2445,10469,00-0031584,NA,FS,1,2020,32013030-2d30-3033-3135-3834a8fd34be,AMO568523
Adrian Clayborn,DE,9,DL,94,CLE,13355,24807,7417,13965,072ec285-1430-48d4-9342-5a1b9af527f3,961,6515,00-0027958,332343,RDE,2,2020,32013030-2d30-3032-3739-3538ecf5c8e7,CLA770145
Adrian Colbert,FS,3,DB,34,NYG,19123,30342,12041,2971699,24a58900-649f-4a29-a34c-26ff92b63be3,4277,12430,00-0033302,691337,FS,3,2020,32013030-2d30-3033-3333-3032915911ee,COL025635
Adrian Peterson,RB,13,RB,28,DET,4807,8261,5215,10452,ab58c0ac-a747-47e6-9b3c-505e41d2bd3d,184,4169,00-0025394,267443,RB,3,2020,32013030-2d30-3032-3533-3934ceb6c025,PET260705
Adrian Phillips,SS,6,DB,21,NE,16724,28303,10002,17487,3c119ef7-fe68-439d-93e4-89ab4fd1df44,2287,10229,00-0031404,NA,SS,2,2020,32013030-2d30-3033-3134-30347b4640b4,PHI113173
Ahkello Witherspoon,CB,3,DB,23,SF,18970,30179,12038,3122630,a80f1b08-3977-48b6-97e0-5991ca26bfae,4124,12304,00-0033783,NA,RCB,2,2020,32013030-2d30-3033-3337-3833449287c1,WIT145608
Akeem Davis-Gaither,LB,0,LB,59,CIN,21999,32777,14661,3917142,d152b2d5-402d-47f4-a6d1-7870e5a32df5,6860,NA,00-0036298,NA,LB,2,2020,32013030-2d30-3033-3632-3938da0fbbdb,DAV816473
Akiem Hicks,DT,8,DL,96,CHI,14358,25799,8350,14984,e2d85e2a-3d88-42e7-95ca-8db79228135c,1186,7555,00-0029657,NA,DT,1,2020,32013030-2d30-3032-3936-3537d62baff7,HIC340209
Al-Quadin Muhammad,DE,3,DL,97,IND,19105,30309,11930,3051942,08875a0a-0a3c-4fc1-b5f7-41d510503628,4259,NA,00-0033964,748589,LDE,2,2020,32013030-2d30-3033-3339-3634ebef6075,MUH405540
Albert Okwuegbunam,TE,0,TE,85,DEN,21794,32788,14369,4035115,617aee8a-70be-4bdf-9a71-2e2b74e647e6,6843,NA,00-0036423,NA,TE,2,2020,32013030-2d30-3033-3634-3233e7fc4ba6,OKW485869
Alec Ogletree,LB,7,LB,52,NYJ,15220,26653,8695,15806,b94f3978-ba88-428a-924b-3fbfdf04b058,1572,8383,00-0030527,552990,NA,NA,2020,32013030-2d30-3033-3035-32379a8d62ff,OGL654714
Alejandro Villanueva,T,6,OL,78,PIT,15980,27528,9762,16706,08e9f65e-cf4c-4af5-939f-a93d1cf34b2e,1805,9542,00-0030648,NA,LT,1,2020,32013030-2d30-3033-3036-343841830da1,VIL407040
